"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(AVAX)","Value_OUT(AVAX)","CurrentValue @ $0/Eth","TxnFee(AVAX)","TxnFee(USD)","Historical $Price/AVAX","Status","ErrCode","Method"
"0x24cd4afbf8c0f52567f806d859206d33c97c4b81b50ae00e21c76affcb63c630","20653225","1680718707","2023-04-05 18:18:27","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","18.01","","","Transfer",""
"0xae9ef4c03408ab4742a86b69b73f8b9225b47d0bbf66a13e6d724abe1afd8e28","20653322","1680718910","2023-04-05 18:21:50","0x007ab5199b6c57f7aa51bc3d0604a43505501a0c","0x297adbb802536bb79b5d7d580b25074d4e40de33","","0.01","0","0.2283","0.0005565","0.012704895","18.01","","","Transfer",""
"0x7351c744c9f0d47d6e1945806201cb3eb7e60c297982104ba9275524ed0cf5bf","20736350","1680899159","2023-04-07 20:25:59","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","17.62","","","Transfer",""
"0xbb2a1f3da4431525e4bee332f17119618b74280fdecdc2e2825f5939eb80a123","20771325","1680982913","2023-04-08 19:41:53","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","17.47","","","Transfer",""
"0x13d420d5c6dea926ea7dae0d9c5510404284744de64542e3c739d66feab549e1","20811685","1681112081","2023-04-10 07:34:41","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","17.94","","","Transfer",""
"0xa699d242c9020d095d8d16a5a636e7f2e7301eaebad82e17858e5d21fe4968bf","20811855","1681112505","2023-04-10 07:41:45","0x007ab5199b6c57f7aa51bc3d0604a43505501a0c","0x297adbb802536bb79b5d7d580b25074d4e40de33","","0.01","0","0.2283","0.0005565","0.012704895","17.94","","","Transfer",""
"0xbd8553081b14ec9efdf5a5493c2934b8d546c9281d7436935228d60b555c8e51","20842010","1681197846","2023-04-11 07:24:06","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","18.15","","","Transfer",""
"0xcd7108ba7816aebf5a07e4d309dba7a13341b02109e1807ec3f3f582a742819c","20870770","1681285138","2023-04-12 07:38:58","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","18.26","","","Transfer",""
"0xf6b7421d39fd9e4e0b7f4b89755ce8dff5c3c5cc0ca24edbcc642804fda065df","20898221","1681372205","2023-04-13 07:50:05","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","18.85","","","Transfer",""
"0x588356b69e48b611d5aa520b050bfdbd9dea7a12d5b1cd45ec17915d33cd66cb","20925067","1681461309","2023-04-14 08:35:09","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","19.25","","","Transfer",""
"0xa248cb72955cc71e34dfa0cc655e12631715bf052626007fb490e3b31e3709bb","20978142","1681635199","2023-04-16 08:53:19","0x2352d20fc81225c8ecd8f6faa1b37f24fed450c9","0x297adbb802536bb79b5d7d580b25074d4e40de33","","2","0","45.66","0.000567","0.01294461","20.18","","","Transfer",""
"0xd236bb5cd68ceb9535297841d28026d5817e1e775314bf8ca1f356b1666a7c0d","20978676","1681637312","2023-04-16 09:28:32","0x297adbb802536bb79b5d7d580b25074d4e40de33","","0x842aa1a985e24b88e72df0c2b56272f28b9bba61","0","0","0","0.08512581","1.9434222423","20.18","","","0x60806040",""
"0x139709361f7288e02b4b2e949a0ec8f4bfdbe0aff7e1262286029f4164d6d4bd","20978758","1681637651","2023-04-16 09:34:11","0x297adbb802536bb79b5d7d580b25074d4e40de33","","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","0","0","0","0.078207255","1.78547163165","20.18","","","0x60806040",""
"0x9ccad698ffb8c8d383fab097b8ab75c5d94042d5ec12ca3558a0af7c6001dbd6","20978761","1681637657","2023-04-16 09:34:17","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.00243152","0.0555116016","20.18","","","0xa3274c9b",""
"0x89512e80e0234e4174d628f3cb7d4b9fb8dfc66eb9d9e1b4a5117d97374c76ad","20978762","1681637661","2023-04-16 09:34:21","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.00243194","0.0555211902","20.18","","","0xa3274c9b",""
"0xfb621236abf96c6ab3ade16eafeb40b03449b9e4dc239e4ec1394446c25fc9b7","20978763","1681637666","2023-04-16 09:34:26","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.00243194","0.0555211902","20.18","","","0xa3274c9b",""
"0x0346deec11aa31c2dcc841c16e4e3257eda48662e4ae9311ad4f4f44d78e389e","20978765","1681637672","2023-04-16 09:34:32","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x2e8aafc295b6755e11ca12dd630890b819dd20b16b580aae5594936b4f89eec2","20978768","1681637678","2023-04-16 09:34:38","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0xf011cf33dbe750d530e66dbd52b72c93edf18bee492186de7198ea82d6383950","20978769","1681637681","2023-04-16 09:34:41","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0xd4f57f2145d85b25418d46b95f83c0c857b0c37469b3f1bf4ef17fcceb7c0b61","20978771","1681637686","2023-04-16 09:34:46","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x9ce58f12d799e0b6970af738cc8e57b91a0d403c0f35b5c70c9627478f7698f0","20978772","1681637692","2023-04-16 09:34:52","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x69fe8eb3bb87b7f20dac3c9bbcc8aeffa038da3135a83b44655df75fe99f23a2","20978773","1681637696","2023-04-16 09:34:56","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x33356541df0db1e2dcf0519a1af7b418ebd329cb8c7ad046d820914a23fba10f","20978776","1681637702","2023-04-16 09:35:02","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0xb44bf14433d3b3cdbe5859a59d37fae78d00835c36d333997e255e6b64dad203","20978778","1681637706","2023-04-16 09:35:06","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x953826727f9fa4ba3c44616f2e0aed782d3d536371c4b48532cdfc80e7d9f4eb","20978780","1681637710","2023-04-16 09:35:10","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x627ab5ab3a4640679d952004b06649ea6ad41084558089ef1955a6901d4d36c4","20978782","1681637715","2023-04-16 09:35:15","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.001023855","0.02337460965","20.18","","","0x8b206fab",""
"0x379306f0d1f5c4e21b34ee10b7c62908c1d23587473e2bc938129af97abc07f8","20978783","1681637717","2023-04-16 09:35:17","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x85bbf5399fe1dcd83fe92ee19839f173918d5d89bb9b1f5cbb7f0158ee9ee104","20978784","1681637722","2023-04-16 09:35:22","0x297adbb802536bb79b5d7d580b25074d4e40de33","0xe50f1dab0363a9d92c7145e93c191b7159e2b9e3","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x6f5159be7e4167c3fbe3cf0c45469956384c893af63f26be2e56d027db017289","20978942","1681638221","2023-04-16 09:43:41","0x297adbb802536bb79b5d7d580b25074d4e40de33","","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","0","0","0","0.078207255","1.78547163165","20.18","","","0x60806040",""
"0xc2c0546e65e61d7c950970d9609401a0fb1365aacc1d87ed43542873ab17f130","20978944","1681638227","2023-04-16 09:43:47","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.00243152","0.0555116016","20.18","","","0xa3274c9b",""
"0x96c04baab5c727fc254fb23e4d2fd2ce4775ea5af1cbd03859db879fc7de145d","20978945","1681638234","2023-04-16 09:43:54","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.00243194","0.0555211902","20.18","","","0xa3274c9b",""
"0xcaf72e2df3156dc196274e8464b17f4af2873d0aceab7ab9c81bed8d5ac90499","20978947","1681638239","2023-04-16 09:43:59","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.00243194","0.0555211902","20.18","","","0xa3274c9b",""
"0x1dc8b4e7a522112340de32fb9d287ef30ea4fb75bcee8a5e9cbb3708e5db92a0","20978948","1681638244","2023-04-16 09:44:04","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x8e3b9f51b8bc4130238034fdb694bb40a4eeda66aefbb9551038f55a16c5a205","20978950","1681638250","2023-04-16 09:44:10","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x45b0a7fb14e537291fc70f154903451c676c8adc01d90c4c1216985995aafedc","20978953","1681638257","2023-04-16 09:44:17","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x086e0979874459980b17fe6f2afd4538ca0869e7e184321fca9a4222e8ec5d1a","20978955","1681638261","2023-04-16 09:44:21","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0xfdfb6edf35275b321d2e4a90cea2f5c4059d6dcf0257075679b0bfeabe74170c","20978957","1681638268","2023-04-16 09:44:28","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x6fd4412bec626080af12218cb411483646824c3f0b610edb76fbf7a30c522b8e","20978958","1681638272","2023-04-16 09:44:32","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x0054e5f5c6752acfbb683acd41fba2ae525920511a8ea9315786083a74d12629","20978960","1681638279","2023-04-16 09:44:39","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0xb885fcfb5f94040360ad4726fde3298e46ed0ec9e874783b0e69aa45c0bf33ed","20978961","1681638284","2023-04-16 09:44:44","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x4e2e04e3c34fea46ef68e836d1b10877395da2879e19d1c222f38ce116f890b6","20978962","1681638291","2023-04-16 09:44:51","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x5398f0f5c38e021fc7d7b76d91c61bdedbe639ded22bd8bbc3886f79abaa7254","20978964","1681638298","2023-04-16 09:44:58","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.001023855","0.02337460965","20.18","","","0x8b206fab",""
"0xcc8b53ce186b5d0bd4d2e0232f74e2f0ffd3faf106ff5c509b3f19cc17e6fe0b","20978966","1681638302","2023-04-16 09:45:02","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0xe01778b56f6c0e25714986e8de95851194b3de4644288aa1b41989eeac5e8bcb","20978969","1681638308","2023-04-16 09:45:08","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0xf555426239186f64940b0ab341de21d902d1ea441471fdf698bdf39cf99f019a","20978972","1681638315","2023-04-16 09:45:15","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x2df16258b655cc9523d22fc209efdf35ae01977ccef866acd6dd53a4552648a3","20978973","1681638319","2023-04-16 09:45:19","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x776401f0a9195e2083ac5c4ef5062c241e545bef0696099559744fda76cbf52f","20978975","1681638328","2023-04-16 09:45:28","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x7015039cfe677107b2c16f3a3b98848eac441f067326873af1ba8a4bede5659b","20978977","1681638333","2023-04-16 09:45:33","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x602d2edcafc0ef24570a4c051acd93445b895f8e90f28cd063e6e28ac14d8e9c","20978980","1681638340","2023-04-16 09:45:40","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x4eae5aaf8a2530d91411ffb86961d78a479b076110b737856d7e2429946ac094","20978982","1681638345","2023-04-16 09:45:45","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x0cf8dae2f92f87b4bbaa05cc1064c225a80dfbbb641376466fe25c1d19bbc154","20978985","1681638351","2023-04-16 09:45:51","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0xf9febad2aca79f7130e8af1f3b46e010805d627f41b1e4b72c37704401df179b","20978988","1681638357","2023-04-16 09:45:57","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0xce9c26196f0748698727fedc7da2a08b84d5237fd56c538102daddb8a0d3e304","20978991","1681638363","2023-04-16 09:46:03","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0xae60e4d958bea03a5ced728e7c5d92d119b52b780b8a8a0eeaefa895d52b3021","20978994","1681638369","2023-04-16 09:46:09","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x0b84ef0f54d05550a6ce6c6d813456b4bde9bb56","","0","0","0","0.001080415","0.02466587445","20.18","","","0x89f04552",""
"0xf5e32d840195880810cf7f5c1484a786a1a0ba61409d302787de28ce89b2d04d","20979162","1681638895","2023-04-16 09:54:55","0x297adbb802536bb79b5d7d580b25074d4e40de33","","0x74b3e2298cacd16817117f3de76019dcc4a574b9","0","0","0","0.078207255","1.78547163165","20.18","","","0x60806040",""
"0x4dffd15fe9f36c4a17bc4f33df427a6e433b9961b3570446a269bc3f0515868b","20979165","1681638901","2023-04-16 09:55:01","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.00243194","0.0555211902","20.18","","","0xa3274c9b",""
"0x92c3c4025a5d90d379b252d50fbf8170b44530ca3fdc1d53a7308b7a39a1d7c7","20979166","1681638903","2023-04-16 09:55:03","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x855134ec04506ecfe73a54522f4e02261014faee263fda74029f418a3c0a7581","20979167","1681638905","2023-04-16 09:55:05","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0xa7d0d6581a436835a247179dad7d8b24b865def8f28c0bbb27a31a497ce4b2e5","20979168","1681638907","2023-04-16 09:55:07","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.00243194","0.0555211902","20.18","","","0xa3274c9b",""
"0xaf436a621cd65b32f9eadf1c79fdade92f9b76514ac08c19376855be91c2163d","20979169","1681638909","2023-04-16 09:55:09","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x9efb783f971ebfd21b0f5415fed7e8ec959ddc59e6810bb2784bd0814e9cc846","20979171","1681638913","2023-04-16 09:55:13","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x0a01a532d4e4d3706448d9fecc20f3b2c6a3ffe7be54ec0c88d6568a0dc3ed4c","20979172","1681638915","2023-04-16 09:55:15","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x1ee8cb9a4fd7e294b846344dc2ab82490dac4d2c7102a7d4791f7b376e80250c","20979173","1681638917","2023-04-16 09:55:17","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.00243152","0.0555116016","20.18","","","0xa3274c9b",""
"0xf4c7eea01ad6e75aee8e846fd999892eef99f2a33ec0b18fbb1baac57ee48179","20979174","1681638919","2023-04-16 09:55:19","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x2a4b1f6870599fc365b46be2cd6ab42fbc79aad44b195c4d6cbdc4876604c4d5","20979175","1681638921","2023-04-16 09:55:21","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0x60f78b51f9dd8498ab1666e18ab835f822a01c9e3902c7c5db293be06d521ef4","20979176","1681638923","2023-04-16 09:55:23","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0xa487f1e074039fa99ecbceba4196f9f575e3f275fc0d6c7f54ed0e4aa36893b6","20979177","1681638925","2023-04-16 09:55:25","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.00183344","0.0418574352","20.18","","","0xa3274c9b",""
"0xc1e24072cb824a9c03e2451818543fda5cda8ae5f83ed1be0aebe368783838fc","20979179","1681638930","2023-04-16 09:55:30","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x31feef08f8f5807c8ca853d3f4a7a410c8c7550da5104b3d76c5140fd6a8c43c","20979180","1681638932","2023-04-16 09:55:32","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x9aa00e234b35d931ac1798988929a254194a345b28f78c175842bb8d21b47687","20979181","1681638934","2023-04-16 09:55:34","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x273bdc34f0b660d3ffbeb9e08b6088200f04b1f160019ee2be1a4b0ec33acaa4","20979182","1681638936","2023-04-16 09:55:36","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x1ccfe07c5f1643ec5e0672e77aa0aa188118dd005e4853f8f71d5edbc1a0d269","20979183","1681638938","2023-04-16 09:55:38","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x5318e286e296d0f4068a6acbc2f5afb278a8a5a8e8cc7f47aac95cabd1a70d3a","20979184","1681638940","2023-04-16 09:55:40","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0xcc0c9fc2e6b2a49f440ee1bb5ad37b3ffd2935f8f82df0dd9b0a55e71e1fb14e","20979185","1681638942","2023-04-16 09:55:42","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0xb43af40a8afb52952170a93db5380b65fb4c505e7e784611f83d378749399eb0","20979186","1681638944","2023-04-16 09:55:44","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x84635ca791fa7c213ae1a46c1ac925b1e2646c9fef1f8c8363e43e571efc403f","20979187","1681638946","2023-04-16 09:55:46","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x9b6ca03d51a59f453555815198f9dd56f63ef017371a5db8b0ec84e80aa596d9","20979188","1681638948","2023-04-16 09:55:48","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.001023855","0.02337460965","20.18","","","0x8b206fab",""
"0x535517d85719b7c4f236c642e3780fea3aa4a02005bd2ff508e725d8023ec91a","20979190","1681638952","2023-04-16 09:55:52","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x9c4e13cebac0173af1fb14d27d6ce745466874a663644cd5990530027ecc0914","20979191","1681638954","2023-04-16 09:55:54","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.001024275","0.02338419825","20.18","","","0x8b206fab",""
"0x3ed97ca96389cd196b8686f0295abed76389f1ce44310018e1cff51b19fd68dd","20979194","1681638960","2023-04-16 09:56:00","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x74b3e2298cacd16817117f3de76019dcc4a574b9","","0","0","0","0.001080415","0.02466587445","20.18","","","0x89f04552",""
"0xd2e1d4a6098c80dbe734efac34131416576c3f4f111303db37703cdb6b96600e","20980052","1681642487","2023-04-16 10:54:47","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x30cab2fca6260fb91b172d4afb215514069868ea","","0","1.7","38.811","0.0042950458444","0.098055896627652","20.18","","","Client Deposit L1",""
"0xd4b7da15eaacca89fc10d666ac04aa8554b1faf5748d46fd0bc7c910568ef8bb","21137740","1682164512","2023-04-22 11:55:12","0x297adbb802536bb79b5d7d580b25074d4e40de33","","0x64fe95f9a358d2e0525ecdc128ff09e5368d1aa3","0","0","0","0.078207255","1.78547163165","","","","0x60806040",""
"0x28d0e0d45fd15719a80219c07bc913f776edd7430cd58abe61276dab0f89f37e","21137743","1682164519","2023-04-22 11:55:19","0x297adbb802536bb79b5d7d580b25074d4e40de33","0x64fe95f9a358d2e0525ecdc128ff09e5368d1aa3","","0","0","0","0.001080415","0.02466587445","","","","0x89f04552",""
